"Id","Type","Zone","LotArea","LotConfig","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtRating","BsmtSF","CentralAir","X1stFlrSF","X2ndFlrSF","LowQualSF","LivAreaSF","FullBath","HalfBath","Bedrooms","Kitchen","KitchenQual","TotRms","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PoolArea","MoSold","YrSold","SaleCondition","SalePrice"
935,20,"RL",27650,"Inside","1Fam","1Story",7,7,1960,2007,"Flat","TA","TA","CBlock","Gd","TA","Gd","GLQ",425,"Y",2069,0,0,2069,2,0,4,1,"Gd",9,"Typ",1,"Gd","Attchd",1960,"RFn",2,505,"TA","TA",0,11,2008,"Normal",242000
417,60,"RL",7844,"Inside","1Fam","2Story",6,7,1978,1978,"Hip","TA","TA","CBlock","TA","TA","No","ALQ",209,"Y",672,728,0,1400,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1978,"Fin",2,440,"TA","TA",0,3,2006,"Normal",149500
1361,70,"RL",9842,"Inside","1Fam","2Story",5,6,1921,1998,"Gable","TA","TA","BrkTil","TA","Fa","No","Unf",0,"Y",990,1611,0,2601,3,1,4,1,"TA",8,"Typ",0,NA,"Other",1998,"RFn",2,621,"TA","TA",0,5,2008,"Normal",189000
787,50,"RM",10800,"Inside","1Fam","1.5Sto",5,6,1915,1950,"Gable","TA","Gd","PConc","Fa","TA","No","LwQ",686,"Y",966,686,0,1652,2,0,4,1,"TA",7,"Typ",0,NA,"Detchd",1961,"Unf",1,416,"TA","TA",0,6,2010,"Normal",139000
1090,120,"FV",3316,"Inside","TwnhsE","1Story",8,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",1039,"Y",1247,0,0,1247,1,1,1,1,"Gd",4,"Typ",1,"Gd","Attchd",2005,"Fin",2,550,"TA","TA",0,4,2006,"Normal",197000
244,160,"RL",10762,"Corner","TwnhsE","2Story",6,6,1980,1980,"Gable","TA","TA","CBlock","Gd","TA","No","Unf",0,"Y",626,591,0,1217,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1980,"RFn",1,288,"TA","TA",0,4,2009,"Normal",120000
216,20,"RL",10011,"Inside","1Fam","1Story",5,6,1957,1996,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",360,"Y",1236,0,0,1236,1,0,2,1,"Gd",6,"Min",1,"Fa","Attchd",1957,"Unf",1,447,"TA","TA",0,5,2006,"Normal",134450
80,50,"RM",10440,"Corner","1Fam","2Story",5,6,1910,1981,"Gable","TA","TA","PConc","TA","TA","No","Unf",0,"Y",682,548,0,1230,1,1,2,1,"TA",5,"Typ",0,NA,"Detchd",1966,"Unf",2,440,"TA","TA",0,5,2009,"Normal",110000
738,60,"RL",10463,"CulDSac","1Fam","2Story",8,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",901,900,0,1801,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd",2005,"Fin",3,800,"TA","TA",0,6,2006,"Normal",239900
1125,80,"RL",9125,"Inside","1Fam","2.5Sto",7,5,1992,1992,"Gable","TA","TA","PConc","Gd","TA","No","Unf",0,"Y",812,670,0,1482,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1992,"Fin",2,392,"TA","TA",0,7,2007,"Normal",163900
1390,50,"RM",6000,"Inside","1Fam","1.5Sto",6,6,1941,1950,"Gable","TA","Gd","BrkTil","TA","Gd","No","ALQ",375,"Y",869,349,0,1218,1,0,3,1,"TA",6,"Typ",1,"Gd","Detchd",2003,"Unf",2,440,"TA","TA",0,3,2007,"Normal",131000
1091,90,"RL",8544,"Corner","Duplex","1Story",3,4,1950,1950,"Gable","TA","TA","BrkTil",NA,NA,NA,NA,0,"N",1040,0,0,1040,2,0,2,2,"TA",6,"Typ",0,NA,"Detchd",1987,"Unf",2,400,"TA","TA",0,6,2009,"Normal",92900
962,60,"RL",12227,"Corner","1Fam","2Story",6,7,1977,1995,"Gable","TA","Gd","CBlock","Gd","Gd","No","ALQ",896,"Y",1542,1330,0,2872,2,1,4,1,"TA",11,"Typ",1,"TA","Attchd",1977,"Fin",2,619,"TA","TA",0,7,2008,"Normal",272000
1162,20,"RL",14778,"CulDSac","1Fam","1Story",6,7,1954,2006,"Hip","Gd","TA","CBlock","TA","TA","No","BLQ",728,"Y",1640,0,0,1640,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1993,"Unf",2,924,"TA","TA",0,11,2008,"Normal",224000
270,20,"RL",7917,"Corner","1Fam","1Story",6,7,1976,1976,"Hip","TA","Gd","CBlock","TA","Gd","No","BLQ",751,"Y",1113,0,0,1113,1,1,3,1,"TA",6,"Typ",1,"Fa","Attchd",1987,"RFn",1,504,"TA","Gd",0,5,2007,"Normal",148000
299,60,"RL",11700,"Inside","1Fam","2Story",6,6,1968,1968,"Hip","Gd","TA","CBlock","TA","TA","No","ALQ",384,"Y",1041,702,0,1743,1,2,3,1,"TA",7,"Typ",1,"Gd","Attchd",1968,"Unf",2,539,"TA","TA",0,6,2007,"Normal",175000
39,20,"RL",7922,"Inside","1Fam","1Story",5,7,1953,2007,"Gable","TA","Gd","CBlock","TA","TA","No","GLQ",731,"Y",1057,0,0,1057,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",1953,"Unf",1,246,"TA","TA",0,1,2010,"Abnorml",109000
734,20,"RL",10000,"Corner","1Fam","1Story",5,6,1961,1983,"Hip","TA","TA","CBlock","TA","TA","No","BLQ",594,"Y",1144,0,0,1144,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1961,"RFn",1,264,"TA","TA",0,3,2009,"Normal",131400
132,60,"RL",12224,"Corner","1Fam","2Story",6,5,2000,2000,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",695,"Y",1022,1032,0,2054,2,1,3,1,"Gd",7,"Typ",1,"TA","Other",2000,"RFn",2,390,"TA","TA",0,7,2009,"Normal",244000
1005,120,"RL",3182,"Inside","TwnhsE","1Story",7,5,2005,2006,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",16,"Y",1504,0,0,1504,2,0,1,1,"Gd",7,"Typ",1,"Gd","Attchd",2005,"Fin",2,457,"TA","TA",0,5,2009,"Normal",181000
675,20,"RL",9200,"Inside","1Fam","1Story",6,6,1965,1965,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",892,"Y",1136,0,0,1136,1,0,3,1,"TA",5,"Typ",1,"Gd","Attchd",1965,"RFn",1,384,"TA","TA",0,7,2008,"Normal",140000
1156,20,"RL",10768,"Corner","1Fam","1Story",5,8,1976,2004,"Gable","Gd","Gd","CBlock","Gd","TA","Gd","ALQ",1157,"Y",1437,0,0,1437,2,0,3,1,"Gd",6,"Typ",1,"Fa","Attchd",1976,"RFn",2,528,"TA","TA",0,7,2007,"Normal",218000
963,160,"RL",2308,"Corner","TwnhsE","2Story",6,6,1976,1976,"Gable","TA","TA","CBlock","Gd","TA","No","ALQ",556,"Y",804,744,0,1548,2,1,3,1,"Gd",7,"Typ",1,"TA","Detchd",1976,"Unf",2,440,"TA","TA",0,7,2007,"Normal",155000
207,20,"RL",13673,"CulDSac","1Fam","1Story",5,5,1962,1962,"Gable","TA","Gd","CBlock","TA","TA","No","Unf",0,"Y",1696,0,0,1696,1,1,3,1,"TA",8,"Min",1,"TA","Attchd",1962,"RFn",1,349,"TA","TA",0,3,2007,"Normal",143900
1384,30,"RL",25339,"Inside","1Fam","1Story",5,7,1918,2007,"Gable","TA","Gd","BrkTil","TA","TA","No","Unf",0,"Y",1416,0,0,1416,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2007,"Unf",2,576,"TA","TA",0,8,2007,"Normal",112000
524,60,"RL",40094,"Inside","1Fam","2Story",10,5,2007,2008,"Hip","Ex","TA","PConc","Ex","TA","Gd","GLQ",2260,"Y",3138,1538,0,4676,3,1,3,1,"Ex",11,"Typ",1,"Gd","Other",2007,"Fin",3,884,"TA","TA",0,10,2007,"Abnorml",184750
1351,90,"RL",11643,"Inside","Duplex","2Story",5,5,1969,1969,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",500,"Y",1338,1296,0,2634,2,2,6,2,"TA",12,"Typ",0,NA,"Detchd",1969,"Unf",4,968,"TA","TA",0,8,2009,"Normal",200000
1305,160,"RM",3363,"Inside","TwnhsE","2Story",7,5,2004,2004,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",976,732,0,1708,2,0,3,1,"Gd",7,"Maj",0,NA,"Detchd",2004,"Unf",2,380,"TA","TA",0,4,2006,"Normal",130000
876,60,"FV",9000,"Inside","1Fam","2Story",8,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA","Av","GLQ",64,"Y",1184,1426,0,2610,2,1,4,1,"Ex",11,"Typ",1,"Gd","Other",2007,"Fin",2,550,"TA","TA",0,8,2007,"Abnorml",303477
983,20,"RL",3182,"Inside","1Fam","1Story",7,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",1266,0,0,1266,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"Fin",2,388,"TA","TA",0,3,2008,"Normal",159895
1094,20,"RL",9230,"Corner","1Fam","1Story",5,8,1965,1998,"Hip","TA","TA","CBlock","TA","TA","Mn","GLQ",661,"Y",1200,0,0,1200,1,1,1,1,"Gd",6,"Typ",0,NA,"Detchd",1977,"Unf",2,884,"TA","TA",0,10,2006,"Normal",146000
599,20,"RL",12984,"Inside","1Fam","1Story",5,6,1977,1977,"Gable","TA","TA","CBlock","Gd","TA","Mn","ALQ",1283,"Y",1647,0,0,1647,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd",1977,"Fin",2,621,"TA","TA",0,3,2006,"Normal",217500
1445,20,"RL",8500,"FR2","1Fam","1Story",7,5,2004,2004,"Gable","Gd","TA","PConc","Gd","TA","Av","Unf",0,"Y",1422,0,0,1422,2,0,3,1,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,626,"TA","TA",0,11,2007,"Normal",179600
1323,60,"RL",10186,"Inside","1Fam","2Story",7,5,1992,1992,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",674,"Y",1061,862,0,1923,2,1,3,1,"Gd",8,"Typ",1,"TA","Attchd",1992,"RFn",2,564,"TA","TA",0,6,2010,"Normal",190000
891,50,"RL",8064,"Corner","1Fam","1.5Sto",5,7,1949,2006,"Gable","TA","Gd","CBlock","TA","TA","Mn","Unf",0,"Y",672,252,0,924,1,0,3,1,"TA",6,"Typ",1,"Po","Detchd",2003,"Unf",2,576,"TA","TA",0,7,2007,"Normal",122900
875,50,"RM",5720,"Inside","1Fam","1.5Sto",5,6,1941,1950,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",676,455,0,1131,1,1,3,1,"TA",5,"Typ",0,NA,"Detchd",1941,"Unf",1,200,"TA","TA",0,8,2009,"Abnorml",66500
465,20,"RL",8430,"Inside","1Fam","1Story",5,5,1978,1978,"Gable","TA","TA","CBlock","Gd","TA","No","LwQ",616,"Y",1040,0,0,1040,2,0,3,1,"TA",5,"Typ",0,NA,NA,NA,NA,0,0,NA,NA,0,8,2009,"Normal",124000
815,50,"RL",8248,"Inside","1Fam","1.5Sto",5,7,1918,1950,"Gable","TA","TA","BrkTil","TA","TA","No","Unf",0,"Y",686,564,0,1250,1,1,3,1,"Fa",7,"Typ",0,NA,"Detchd",1955,"Unf",1,280,"TA","TA",0,7,2006,"Normal",116000
1343,60,"RL",9375,"Inside","1Fam","2Story",8,5,2002,2002,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1284,885,0,2169,2,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,647,"TA","TA",0,8,2007,"Normal",228500
152,20,"RL",13891,"Inside","1Fam","1Story",8,5,2007,2008,"Hip","Gd","TA","PConc","Ex","TA","Gd","GLQ",1400,"Y",1710,0,0,1710,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2007,"RFn",3,866,"TA","TA",0,1,2008,"Abnorml",372402
1103,20,"RL",7000,"Inside","1Fam","1Story",5,7,1960,2002,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",588,"Y",1134,0,0,1134,1,0,2,1,"TA",6,"Typ",0,NA,"Attchd",1960,"RFn",1,254,"TA","TA",0,4,2007,"Family",135000
755,20,"RL",7930,"Inside","1Fam","1Story",6,8,1969,2005,"Gable","TA","TA","CBlock","TA","TA","No","GLQ",439,"Y",1026,0,0,1026,1,0,3,1,"Gd",5,"Typ",0,NA,"Detchd",1969,"RFn",2,440,"TA","TA",0,7,2009,"Normal",156000
1020,120,"RL",3013,"Inside","TwnhsE","1Story",7,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA","Gd","GLQ",16,"Y",1506,0,0,1506,2,0,2,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,440,"TA","TA",0,4,2006,"Normal",213490
284,20,"RL",9612,"Inside","1Fam","1Story",8,5,2008,2009,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1468,0,0,1468,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2008,"Fin",3,898,"TA","TA",0,12,2009,"Abnorml",244600
198,75,"RL",25419,"Corner","1Fam","2Story",8,4,1918,1990,"Gable","Gd","Gd","PConc","TA","TA","No","GLQ",1036,"Y",1360,1360,392,3112,2,0,4,1,"Gd",8,"Typ",1,"Ex","Detchd",1918,"Unf",2,795,"TA","TA",512,3,2006,"Abnorml",235000
576,50,"RL",8480,"Inside","1Fam","1.5Sto",5,5,1947,1950,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",442,"Y",832,384,0,1216,1,0,2,1,"TA",6,"Typ",0,NA,"Detchd",1947,"Unf",1,336,"TA","TA",0,10,2008,"Abnorml",118500
648,20,"RL",10452,"Inside","1Fam","1Story",6,5,1953,1953,"Hip","TA","TA","CBlock","TA","TA","Mn","LwQ",500,"Y",1094,0,0,1094,1,0,3,1,"TA",5,"Typ",2,"Gd","Attchd",1953,"RFn",2,495,"TA","TA",0,6,2008,"Normal",155000
1102,20,"RL",9758,"Inside","1Fam","1Story",5,5,1971,1971,"Gable","TA","TA","CBlock","TA","TA","No","BLQ",412,"Y",950,0,0,950,1,0,3,1,"TA",5,"Typ",0,NA,"Detchd",1981,"Unf",1,280,"TA","TA",0,7,2007,"Normal",119500
619,20,"RL",11694,"Inside","1Fam","1Story",9,5,2007,2007,"Hip","Ex","TA","PConc","Ex","TA","Av","GLQ",48,"Y",1828,0,0,1828,2,0,3,1,"Gd",9,"Typ",1,"Gd","Attchd",2007,"Unf",3,774,"TA","TA",0,7,2007,"Abnorml",314813
1190,60,"RL",7500,"Inside","1Fam","2Story",7,5,1999,1999,"Gable","TA","TA","PConc","TA","TA","No","Unf",0,"Y",1028,776,0,1804,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd",1999,"Fin",2,442,"TA","TA",0,6,2010,"Normal",189000
1320,20,"RL",10215,"Inside","1Fam","1Story",4,5,1954,1954,"Hip","TA","TA","PConc","TA","TA","No","ALQ",492,"Y",948,0,0,948,1,0,3,1,"TA",5,"Typ",0,NA,"Attchd",1954,"Unf",1,248,"TA","TA",0,2,2007,"Normal",111000
45,20,"RL",7945,"Inside","1Fam","1Story",5,6,1959,1959,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",179,"Y",1150,0,0,1150,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,300,"TA","TA",0,5,2006,"Normal",141000
830,160,"FV",2544,"Inside","Twnhs","2Story",7,5,2005,2005,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",520,623,80,1223,2,1,2,1,"Gd",4,"Typ",0,NA,"Detchd",2005,"RFn",2,480,"TA","TA",0,7,2006,"Normal",147400
111,50,"RL",9525,"Inside","1Fam","1.5Sto",6,4,1954,1972,"Gable","TA","TA","CBlock","TA","Fa","No","LwQ",444,"Y",1216,639,0,1855,2,0,4,1,"TA",7,"Typ",0,NA,"Attchd",1954,"Unf",1,325,"TA","TA",0,10,2006,"Normal",136900
864,20,"RL",7931,"Inside","1Fam","1Story",5,5,1959,1959,"Hip","TA","TA","CBlock","TA","TA","No","BLQ",1148,"Y",1148,0,0,1148,1,0,3,1,"TA",6,"Typ",0,NA,"Attchd",1959,"Unf",1,672,"TA","TA",0,7,2009,"Normal",132500
226,160,"RM",1680,"Inside","Twnhs","2Story",5,5,1971,1971,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",630,672,0,1302,2,1,3,1,"TA",6,"Typ",0,NA,"Detchd",1991,"Unf",1,280,"TA","TA",0,5,2009,"Abnorml",112000
269,30,"RM",6900,"Inside","1Fam","1Story",5,6,1940,1955,"Gable","TA","TA","CBlock","TA","TA","No","ALQ",403,"Y",778,0,0,778,1,0,2,1,"TA",4,"Typ",1,"Gd","Detchd",1966,"Fin",1,924,"Ex","Ex",0,2,2008,"Normal",120500
1174,50,"RL",18030,"Inside","1Fam","1.5Sto",5,6,1946,1994,"Gable","TA","TA","CBlock","TA","TA","No","LwQ",152,"Y",1636,971,479,3086,3,0,3,1,"Ex",12,"Maj",1,"Gd",NA,NA,NA,0,0,NA,NA,0,3,2007,"Normal",200500
520,70,"RL",10918,"Inside","1Fam","2Story",7,9,1926,2004,"Hip","Gd","TA","BrkTil","Gd","TA","No","Unf",0,"Y",1276,804,0,2080,1,1,3,1,"Gd",9,"Typ",2,"Gd","Detchd",1926,"Unf",1,282,"TA","TA",0,6,2009,"Normal",234000
478,60,"RL",13693,"Inside","1Fam","2Story",9,5,2006,2006,"Hip","Ex","TA","PConc","Gd","TA","Av","Unf",0,"Y",2069,574,0,2643,2,1,3,1,"Ex",9,"Typ",1,"Gd","Other",2006,"Fin",3,694,"TA","TA",0,3,2007,"Normal",380000
624,160,"FV",2117,"Inside","TwnhsE","2Story",6,5,2000,2000,"Gable","Gd","TA","PConc","Gd","TA","No","GLQ",420,"Y",756,756,0,1512,2,1,2,1,"Gd",4,"Typ",1,"TA","Detchd",2000,"Unf",2,440,"TA","TA",0,6,2007,"Normal",168500
1126,20,"RL",10434,"Inside","1Fam","1Story",4,5,1955,1955,"Gable","TA","TA","CBlock","TA","TA","No","Unf",0,"Y",1005,0,0,1005,1,0,2,1,"Fa",5,"Typ",1,"TA","Detchd",1977,"Unf",2,672,"Fa","Fa",0,11,2009,"Normal",115000
579,160,"FV",3604,"Corner","TwnhsE","2Story",7,5,2007,2007,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",703,689,0,1392,2,0,2,1,"Gd",5,"Typ",0,NA,"Detchd",2007,"Unf",2,540,"TA","TA",0,2,2008,"Abnorml",146000
1389,20,"RL",14892,"CulDSac","1Fam","1Story",9,5,2006,2007,"Gable","Ex","TA","PConc","Ex","TA","Gd","GLQ",1320,"Y",1746,0,0,1746,2,0,3,1,"Ex",7,"Typ",2,"Gd","Attchd",2006,"Fin",3,758,"TA","TA",0,10,2009,"Normal",377500
806,20,"RL",12274,"FR2","1Fam","1Story",7,5,2008,2008,"Gable","Gd","TA","PConc","Gd","TA","No","Unf",0,"Y",1428,0,0,1428,2,0,3,1,"Ex",6,"Typ",0,NA,"Attchd",2008,"RFn",2,554,"TA","TA",0,7,2008,"Abnorml",227680
